,ort,plz,bundesland,latitude,longitude,demand
0,Aachen,52062,Nordrhein-Westfalen,50.7761739,6.0858482547709825,2492
1,Aachen,52064,Nordrhein-Westfalen,50.7695473,6.080324693416921,1472
2,Aachen,52066,Nordrhein-Westfalen,50.7583177,6.10256117636813,2482
3,Aachen,52068,Nordrhein-Westfalen,50.7800736,6.121385586997584,2235
4,Aachen,52070,Nordrhein-Westfalen,50.79106955,6.096156215124258,2741
5,Aachen,52072,Nordrhein-Westfalen,50.81768295000001,6.047361916065008,2719
6,Aachen,52074,Nordrhein-Westfalen,50.76623035,6.041953856160451,2704
7,Aachen,52076,Nordrhein-Westfalen,50.7118938,6.164828723917756,1397
8,Aachen,52078,Nordrhein-Westfalen,50.758924500000006,6.169006003068397,1533
9,Aachen,52080,Nordrhein-Westfalen,50.7846311,6.160786974879325,2099
10,Ahaus,48683,Nordrhein-Westfalen,52.1476162,6.916871867987983,2344
11,Ahlen,59227,Nordrhein-Westfalen,51.75943384999999,7.8755680355878175,2475
12,Ahlen,59229,Nordrhein-Westfalen,51.70782615,7.92341596224309,1270
13,Aldenhoven,52457,Nordrhein-Westfalen,50.88471325,6.271715695786803,1654
14,Alfter,53347,Nordrhein-Westfalen,50.70224315,6.995519249988379,2229
15,Alpen,46519,Nordrhein-Westfalen,51.59325705000001,6.482416064779099,1141
16,Alsdorf,52477,Nordrhein-Westfalen,50.87491315,6.144776602311811,1193
17,Altena,58762,Nordrhein-Westfalen,51.27817035,7.668831087558672,2216
18,Altenbeken,33184,Nordrhein-Westfalen,51.71863635,8.9356842125,1484
19,Altenberge,48341,Nordrhein-Westfalen,52.03633935,7.447240369563758,2260
20,Anröchte,59609,Nordrhein-Westfalen,51.55013220000001,8.295225271020403,2783
21,Arnsberg,59755,Nordrhein-Westfalen,51.4540753,7.968162161012242,2676
22,Arnsberg,59757,Nordrhein-Westfalen,51.45481115,7.9465899594161655,1450
23,Arnsberg,59759,Nordrhein-Westfalen,51.4393343,7.974716024073729,1334
24,Arnsberg,59821,Nordrhein-Westfalen,51.40119225,8.056129357491532,1453
25,Arnsberg,59823,Nordrhein-Westfalen,51.40399925,8.14368233469542,1671
26,Ascheberg,59387,Nordrhein-Westfalen,51.73963225,7.66235568336817,1166
27,Attendorn,57439,Nordrhein-Westfalen,51.1084318,7.832937150060606,2804
28,Augustdorf,32832,Nordrhein-Westfalen,51.8980278,8.76556386509434,1561
29,Bad Berleburg,57319,Nordrhein-Westfalen,51.05711135,8.514589973117978,2351
30,Bad Driburg,33014,Nordrhein-Westfalen,51.6774771,8.995625450000002,1726
31,Bad Honnef,53604,Nordrhein-Westfalen,50.6415735,7.233993462641315,2271
32,Bad Laasphe,57334,Nordrhein-Westfalen,50.9526569,8.277526112806282,1816
33,Bad Lippspringe,33175,Nordrhein-Westfalen,51.7985829,8.846852900000002,1407
34,Bad Münstereifel,53902,Nordrhein-Westfalen,50.5316133,6.8141973057963945,1122
35,Bad Oeynhausen,32545,Nordrhein-Westfalen,52.20687125,8.800114537141226,1877
36,Bad Oeynhausen,32547,Nordrhein-Westfalen,52.198308700000005,8.805360949421965,1877
37,Bad Oeynhausen,32549,Nordrhein-Westfalen,52.217735499999996,8.783919099999999,2949
38,Bad Salzuflen,32105,Nordrhein-Westfalen,52.086037299999994,8.76205862315609,1465
39,Bad Salzuflen,32107,Nordrhein-Westfalen,52.0625345,8.731057227249224,2005
40,Bad Salzuflen,32108,Nordrhein-Westfalen,52.0756166,8.792051968298896,2231
41,Bad Sassendorf,59505,Nordrhein-Westfalen,51.583161499999996,8.17946443830347,1309
42,Bad Wünnenberg,33181,Nordrhein-Westfalen,51.5230906,8.706975899999998,2683
43,Baesweiler,52499,Nordrhein-Westfalen,50.91752165,6.187242640938535,2149
44,Balve,58802,Nordrhein-Westfalen,51.34378765,7.857238646142116,1253
45,Barntrup,32683,Nordrhein-Westfalen,52.0091104,9.141888712009864,1047
46,Beckum,59269,Nordrhein-Westfalen,51.7583172,8.057965990175882,1073
47,Bedburg,50181,Nordrhein-Westfalen,50.9816144,6.569816490405176,1815
48,Bedburg-Hau,47551,Nordrhein-Westfalen,51.762480200000006,6.193293566076165,1138
49,Beelen,48361,Nordrhein-Westfalen,51.9332419,8.112424397352076,2462
50,Bergheim,50126,Nordrhein-Westfalen,50.95305055,6.646339282898875,2763
51,Bergheim,50127,Nordrhein-Westfalen,50.93488565,6.676810750613104,2957
52,Bergheim,50129,Nordrhein-Westfalen,51.00321875,6.671336318001865,2631
53,Bergisch Gladbach,51427,Nordrhein-Westfalen,50.9559617,7.116725938290332,2065
54,Bergisch Gladbach,51429,Nordrhein-Westfalen,50.96723665,7.152546963783475,2117
55,Bergisch Gladbach,51465,Nordrhein-Westfalen,50.99220825,7.128719477845457,1110
56,Bergisch Gladbach,51467,Nordrhein-Westfalen,51.0201255,7.071655160851077,1281
57,Bergisch Gladbach,51469,Nordrhein-Westfalen,50.99559445,7.112263419190872,2932
58,Bergkamen,59192,Nordrhein-Westfalen,51.610817,7.5960712,2663
59,Bergneustadt,51702,Nordrhein-Westfalen,51.02616765000001,7.638536181631387,1395
60,Bestwig,59909,Nordrhein-Westfalen,51.33472195,8.388540521860225,1538
61,Beverungen,37688,Nordrhein-Westfalen,51.6742588,9.33448514562013,2213
62,Bielefeld,33602,Nordrhein-Westfalen,52.029161,8.533566002575757,1505
63,Bielefeld,33604,Nordrhein-Westfalen,52.00404665,8.54809313357045,2842
64,Bielefeld,33605,Nordrhein-Westfalen,51.99688845,8.581537031270965,1332
65,Bielefeld,33607,Nordrhein-Westfalen,52.0218704,8.564058186464198,1180
66,Bielefeld,33609,Nordrhein-Westfalen,52.0427502,8.578812496331878,1447
67,Bielefeld,33611,Nordrhein-Westfalen,52.0486556,8.548420512356312,2210
68,Bielefeld,33613,Nordrhein-Westfalen,52.043921999999995,8.518047164288344,2638
69,Bielefeld,33615,Nordrhein-Westfalen,52.03492875000001,8.502116704163655,2604
70,Bielefeld,33617,Nordrhein-Westfalen,52.00732905,8.525321264054242,1243
71,Bielefeld,33619,Nordrhein-Westfalen,52.04078855,8.45764780404205,2913
72,Bielefeld,33647,Nordrhein-Westfalen,51.97664795,8.512550928948253,2572
73,Bielefeld,33649,Nordrhein-Westfalen,51.98127279999999,8.463193716222264,1847
74,Bielefeld,33659,Nordrhein-Westfalen,51.951851299999994,8.523137990255837,1977
75,Bielefeld,33689,Nordrhein-Westfalen,51.943581200000004,8.591817603818864,2702
76,Bielefeld,33699,Nordrhein-Westfalen,51.98901915,8.625979679674785,2876
77,Bielefeld,33719,Nordrhein-Westfalen,52.02377875000001,8.615757188538174,2199
78,Bielefeld,33729,Nordrhein-Westfalen,52.0622726,8.598218803430079,1526
79,Bielefeld,33739,Nordrhein-Westfalen,52.086919099999996,8.513017861534424,1066
80,Billerbeck,48727,Nordrhein-Westfalen,51.9801092,7.283204837467906,2435
81,Blankenheim,53945,Nordrhein-Westfalen,50.4034155,6.690340810083313,1203
82,Blomberg,32825,Nordrhein-Westfalen,51.94715653791786,9.066413579154506,1709
83,Bocholt,46395,Nordrhein-Westfalen,51.81390380000001,6.559366675460336,2885
84,Bocholt,46397,Nordrhein-Westfalen,51.87049765,6.651533892264244,1716
85,Bocholt,46399,Nordrhein-Westfalen,51.87671645,6.592175998455256,2672
86,Bochum,44787,Nordrhein-Westfalen,51.48061895,7.220006291154673,1727
87,Bochum,44789,Nordrhein-Westfalen,51.46809605,7.220292986881363,1504
88,Bochum,44791,Nordrhein-Westfalen,51.4900436,7.2484214601177195,1191
89,Bochum,44793,Nordrhein-Westfalen,51.4870765,7.178170516636717,2140
90,Bochum,44795,Nordrhein-Westfalen,51.45296625,7.199473259162907,2983
91,Bochum,44797,Nordrhein-Westfalen,51.42450995,7.24596245576923,1749
92,Bochum,44799,Nordrhein-Westfalen,51.45302279999999,7.231800696929604,2767
93,Bochum,44801,Nordrhein-Westfalen,51.4436028,7.274748198445254,2328
94,Bochum,44803,Nordrhein-Westfalen,51.46905865,7.26196768062955,1810
95,Bochum,44805,Nordrhein-Westfalen,51.51257985,7.276808805454063,1997
96,Bochum,44807,Nordrhein-Westfalen,51.50820015,7.223999472511978,1252
97,Bochum,44809,Nordrhein-Westfalen,51.50129329999999,7.2005636395908805,1955
98,Bochum,44866,Nordrhein-Westfalen,51.480799600000005,7.133224873383805,2049
99,Bochum,44867,Nordrhein-Westfalen,51.464434000000004,7.132591773194215,2397
100,Bochum,44869,Nordrhein-Westfalen,51.45271895,7.159453136968695,2809
101,Bochum,44879,Nordrhein-Westfalen,51.42873405,7.1538248488040495,2547
102,Bochum,44892,Nordrhein-Westfalen,51.470012700000005,7.322553166797959,2158
103,Bochum,44894,Nordrhein-Westfalen,51.48692785,7.314199580597815,2628
104,Bönen,59199,Nordrhein-Westfalen,51.59647395,7.748472116212745,2824
105,Bonn,53111,Nordrhein-Westfalen,50.74572965,7.094089165017582,2310
106,Bonn,53113,Nordrhein-Westfalen,50.72411995,7.10303472765805,2678
107,Bonn,53115,Nordrhein-Westfalen,50.7227303,7.0848061777978755,1992
108,Bonn,53117,Nordrhein-Westfalen,50.75466135,7.07383031454408,1985
109,Bonn,53119,Nordrhein-Westfalen,50.746578,7.03889785,1012
110,Bonn,53121,Nordrhein-Westfalen,50.73293545,7.047708404878684,1209
111,Bonn,53123,Nordrhein-Westfalen,50.707829200000006,7.057586916935098,1215
112,Bonn,53125,Nordrhein-Westfalen,50.69757645,7.060109534916843,1368
113,Bonn,53127,Nordrhein-Westfalen,50.70774215,7.090751835077281,1673
114,Bonn,53129,Nordrhein-Westfalen,50.70544285,7.113838820410308,1214
115,Bonn,53173,Nordrhein-Westfalen,50.69286995,7.16651340268618,1536
116,Bonn,53175,Nordrhein-Westfalen,50.69135595,7.135944900000001,1321
117,Bonn,53177,Nordrhein-Westfalen,50.66447545,7.160158136973728,2617
118,Bonn,53179,Nordrhein-Westfalen,50.6679249,7.184529974071247,2592
119,Bonn,53225,Nordrhein-Westfalen,50.73730465,7.11673897043355,1697
120,Bonn,53227,Nordrhein-Westfalen,50.7235002,7.15801668905573,2156
121,Bonn,53229,Nordrhein-Westfalen,50.74270975,7.1267426422413775,1281
122,Borchen,33178,Nordrhein-Westfalen,51.64555285,8.711352442523713,2311
123,Borgentreich,34434,Nordrhein-Westfalen,51.5347156,9.282035058076536,1559
124,Borgholzhausen,33829,Nordrhein-Westfalen,52.08991105,8.275683329571184,1479
125,Borken,46325,Nordrhein-Westfalen,51.8431909,6.848534688227852,1829
126,Bornheim,53332,Nordrhein-Westfalen,50.76199195,6.9556922531443925,2784
127,Bottrop,46236,Nordrhein-Westfalen,51.5186447,6.916444400349668,1391
128,Bottrop,46238,Nordrhein-Westfalen,51.5160435,6.955662449961655,1084
129,Bottrop,46240,Nordrhein-Westfalen,51.5445921,6.938553609286253,1915
130,Bottrop,46242,Nordrhein-Westfalen,51.5259408,6.899931431653073,2754
131,Bottrop,46244,Nordrhein-Westfalen,51.59724405,6.915039901039321,1241
132,Brakel,33034,Nordrhein-Westfalen,51.7278151,9.188248891959036,2096
133,Breckerfeld,58339,Nordrhein-Westfalen,51.26419009999999,7.414333759872972,2281
134,Brilon,59929,Nordrhein-Westfalen,51.3771817,8.633370130664883,1178
135,Brüggen,41379,Nordrhein-Westfalen,51.26755695,6.172218472332577,2614
136,Brühl,50321,Nordrhein-Westfalen,50.8206836,6.894659164086724,2971
137,Bünde,32257,Nordrhein-Westfalen,52.19344825,8.585596332548343,1822
138,Burbach,57299,Nordrhein-Westfalen,50.74105985,8.091160228760401,2756
139,Büren,33142,Nordrhein-Westfalen,51.60740985,8.61285174609902,1679
