,ort,plz,bundesland,latitude,longitude,open,fixed_costs
0,Aachen,52062,Nordrhein-Westfalen,50.7761739,6.0858482547709825,0,2512097
1,Aachen,52064,Nordrhein-Westfalen,50.7695473,6.080324693416921,0,2535304
2,Aachen,52066,Nordrhein-Westfalen,50.7583177,6.10256117636813,0,2408017
3,Aachen,52068,Nordrhein-Westfalen,50.7800736,6.121385586997584,0,2054866
4,Aachen,52070,Nordrhein-Westfalen,50.79106955,6.096156215124258,0,1515184
5,Aachen,52072,Nordrhein-Westfalen,50.81768295000001,6.047361916065008,0,2436772
6,Aachen,52074,Nordrhein-Westfalen,50.76623035,6.041953856160451,0,2237879
7,Aachen,52076,Nordrhein-Westfalen,50.7118938,6.164828723917756,0,1231902
8,Aachen,52078,Nordrhein-Westfalen,50.758924500000006,6.169006003068397,0,1689562
9,Aachen,52080,Nordrhein-Westfalen,50.7846311,6.160786974879325,0,1111692
10,Ahaus,48683,Nordrhein-Westfalen,52.1476162,6.916871867987983,0,2196108
11,Ahlen,59227,Nordrhein-Westfalen,51.75943384999999,7.8755680355878175,0,1815001
12,Ahlen,59229,Nordrhein-Westfalen,51.70782615,7.92341596224309,0,2699249
13,Aldenhoven,52457,Nordrhein-Westfalen,50.88471325,6.271715695786803,0,1573013
14,Alfter,53347,Nordrhein-Westfalen,50.70224315,6.995519249988379,0,1931022
15,Alpen,46519,Nordrhein-Westfalen,51.59325705000001,6.482416064779099,0,2359639
16,Alsdorf,52477,Nordrhein-Westfalen,50.87491315,6.144776602311811,0,2427538
17,Altena,58762,Nordrhein-Westfalen,51.27817035,7.668831087558672,0,1162530
18,Altenbeken,33184,Nordrhein-Westfalen,51.71863635,8.9356842125,0,1689898
19,Altenberge,48341,Nordrhein-Westfalen,52.03633935,7.447240369563758,0,1954926
20,Anröchte,59609,Nordrhein-Westfalen,51.55013220000001,8.295225271020403,0,1660262
21,Arnsberg,59755,Nordrhein-Westfalen,51.4540753,7.968162161012242,0,1737477
22,Arnsberg,59757,Nordrhein-Westfalen,51.45481115,7.9465899594161655,0,1215178
23,Arnsberg,59759,Nordrhein-Westfalen,51.4393343,7.974716024073729,0,2986920
24,Arnsberg,59821,Nordrhein-Westfalen,51.40119225,8.056129357491532,0,1569743
25,Arnsberg,59823,Nordrhein-Westfalen,51.40399925,8.14368233469542,0,1078453
26,Ascheberg,59387,Nordrhein-Westfalen,51.73963225,7.66235568336817,0,1259867
27,Attendorn,57439,Nordrhein-Westfalen,51.1084318,7.832937150060606,0,2618167
28,Augustdorf,32832,Nordrhein-Westfalen,51.8980278,8.76556386509434,0,1830553
29,Bad Berleburg,57319,Nordrhein-Westfalen,51.05711135,8.514589973117978,0,1105124
30,Bad Driburg,33014,Nordrhein-Westfalen,51.6774771,8.995625450000002,0,2692127
31,Bad Honnef,53604,Nordrhein-Westfalen,50.6415735,7.233993462641315,0,2008900
32,Bad Laasphe,57334,Nordrhein-Westfalen,50.9526569,8.277526112806282,0,2769381
33,Bad Lippspringe,33175,Nordrhein-Westfalen,51.7985829,8.846852900000002,0,2101951
34,Bad Münstereifel,53902,Nordrhein-Westfalen,50.5316133,6.8141973057963945,0,1243838
35,Bad Oeynhausen,32545,Nordrhein-Westfalen,52.20687125,8.800114537141226,0,2858079
36,Bad Oeynhausen,32547,Nordrhein-Westfalen,52.198308700000005,8.805360949421965,0,2789539
37,Bad Oeynhausen,32549,Nordrhein-Westfalen,52.217735499999996,8.783919099999999,0,1575897
38,Bad Salzuflen,32105,Nordrhein-Westfalen,52.086037299999994,8.76205862315609,0,1748503
39,Bad Salzuflen,32107,Nordrhein-Westfalen,52.0625345,8.731057227249224,0,2007053
40,Bad Salzuflen,32108,Nordrhein-Westfalen,52.0756166,8.792051968298896,0,2786383
41,Bad Sassendorf,59505,Nordrhein-Westfalen,51.583161499999996,8.17946443830347,0,2462862
42,Bad Wünnenberg,33181,Nordrhein-Westfalen,51.5230906,8.706975899999998,0,1068941
43,Baesweiler,52499,Nordrhein-Westfalen,50.91752165,6.187242640938535,0,2865198
44,Balve,58802,Nordrhein-Westfalen,51.34378765,7.857238646142116,0,2452142
45,Barntrup,32683,Nordrhein-Westfalen,52.0091104,9.141888712009864,0,1856096
46,Beckum,59269,Nordrhein-Westfalen,51.7583172,8.057965990175882,0,2735258
47,Bedburg,50181,Nordrhein-Westfalen,50.9816144,6.569816490405176,0,1510960
48,Bedburg-Hau,47551,Nordrhein-Westfalen,51.762480200000006,6.193293566076165,0,1954297
49,Beelen,48361,Nordrhein-Westfalen,51.9332419,8.112424397352076,0,2671511
50,Bergheim,50126,Nordrhein-Westfalen,50.95305055,6.646339282898875,0,1048898
51,Bergheim,50127,Nordrhein-Westfalen,50.93488565,6.676810750613104,0,2601716
52,Bergheim,50129,Nordrhein-Westfalen,51.00321875,6.671336318001865,0,1342427
53,Bergisch Gladbach,51427,Nordrhein-Westfalen,50.9559617,7.116725938290332,0,1501669
54,Bergisch Gladbach,51429,Nordrhein-Westfalen,50.96723665,7.152546963783475,0,2183562
55,Bergisch Gladbach,51465,Nordrhein-Westfalen,50.99220825,7.128719477845457,0,1919693
56,Bergisch Gladbach,51467,Nordrhein-Westfalen,51.0201255,7.071655160851077,0,1477492
57,Bergisch Gladbach,51469,Nordrhein-Westfalen,50.99559445,7.112263419190872,0,1315476
58,Bergkamen,59192,Nordrhein-Westfalen,51.610817,7.5960712,0,2816663
59,Bergneustadt,51702,Nordrhein-Westfalen,51.02616765000001,7.638536181631387,0,1048996
60,Bestwig,59909,Nordrhein-Westfalen,51.33472195,8.388540521860225,0,1005325
61,Beverungen,37688,Nordrhein-Westfalen,51.6742588,9.33448514562013,0,2696618
62,Bielefeld,33602,Nordrhein-Westfalen,52.029161,8.533566002575757,0,2728388
63,Bielefeld,33604,Nordrhein-Westfalen,52.00404665,8.54809313357045,0,1386905
64,Bielefeld,33605,Nordrhein-Westfalen,51.99688845,8.581537031270965,0,1364203
65,Bielefeld,33607,Nordrhein-Westfalen,52.0218704,8.564058186464198,0,2018395
66,Bielefeld,33609,Nordrhein-Westfalen,52.0427502,8.578812496331878,0,2966289
67,Bielefeld,33611,Nordrhein-Westfalen,52.0486556,8.548420512356312,0,2994035
68,Bielefeld,33613,Nordrhein-Westfalen,52.043921999999995,8.518047164288344,0,2586146
69,Bielefeld,33615,Nordrhein-Westfalen,52.03492875000001,8.502116704163655,0,2537318
70,Bielefeld,33617,Nordrhein-Westfalen,52.00732905,8.525321264054242,0,1916430
71,Bielefeld,33619,Nordrhein-Westfalen,52.04078855,8.45764780404205,0,1987383
72,Bielefeld,33647,Nordrhein-Westfalen,51.97664795,8.512550928948253,0,1205167
73,Bielefeld,33649,Nordrhein-Westfalen,51.98127279999999,8.463193716222264,0,1697282
74,Bielefeld,33659,Nordrhein-Westfalen,51.951851299999994,8.523137990255837,0,1998945
75,Bielefeld,33689,Nordrhein-Westfalen,51.943581200000004,8.591817603818864,0,1220276
76,Bielefeld,33699,Nordrhein-Westfalen,51.98901915,8.625979679674785,0,2870462
77,Bielefeld,33719,Nordrhein-Westfalen,52.02377875000001,8.615757188538174,0,1869196
78,Bielefeld,33729,Nordrhein-Westfalen,52.0622726,8.598218803430079,0,1881558
79,Bielefeld,33739,Nordrhein-Westfalen,52.086919099999996,8.513017861534424,0,2596822
80,Billerbeck,48727,Nordrhein-Westfalen,51.9801092,7.283204837467906,0,2922000
81,Blankenheim,53945,Nordrhein-Westfalen,50.4034155,6.690340810083313,0,1534482
82,Blomberg,32825,Nordrhein-Westfalen,51.94715653791786,9.066413579154506,0,2522677
83,Bocholt,46395,Nordrhein-Westfalen,51.81390380000001,6.559366675460336,0,1411231
84,Bocholt,46397,Nordrhein-Westfalen,51.87049765,6.651533892264244,0,1170452
85,Bocholt,46399,Nordrhein-Westfalen,51.87671645,6.592175998455256,0,1124402
86,Bochum,44787,Nordrhein-Westfalen,51.48061895,7.220006291154673,0,1255590
87,Bochum,44789,Nordrhein-Westfalen,51.46809605,7.220292986881363,0,1190461
88,Bochum,44791,Nordrhein-Westfalen,51.4900436,7.2484214601177195,0,1712898
89,Bochum,44793,Nordrhein-Westfalen,51.4870765,7.178170516636717,0,1953205
90,Bochum,44795,Nordrhein-Westfalen,51.45296625,7.199473259162907,0,2940717
91,Bochum,44797,Nordrhein-Westfalen,51.42450995,7.24596245576923,0,2412802
92,Bochum,44799,Nordrhein-Westfalen,51.45302279999999,7.231800696929604,0,1593627
93,Bochum,44801,Nordrhein-Westfalen,51.4436028,7.274748198445254,0,1201462
94,Bochum,44803,Nordrhein-Westfalen,51.46905865,7.26196768062955,0,2935578
95,Bochum,44805,Nordrhein-Westfalen,51.51257985,7.276808805454063,0,1838004
96,Bochum,44807,Nordrhein-Westfalen,51.50820015,7.223999472511978,0,1678168
97,Bochum,44809,Nordrhein-Westfalen,51.50129329999999,7.2005636395908805,0,1328548
98,Bochum,44866,Nordrhein-Westfalen,51.480799600000005,7.133224873383805,0,1156129
99,Bochum,44867,Nordrhein-Westfalen,51.464434000000004,7.132591773194215,0,1382913
100,Bochum,44869,Nordrhein-Westfalen,51.45271895,7.159453136968695,0,2168377
101,Bochum,44879,Nordrhein-Westfalen,51.42873405,7.1538248488040495,0,2659602
102,Bochum,44892,Nordrhein-Westfalen,51.470012700000005,7.322553166797959,0,1978290
103,Bochum,44894,Nordrhein-Westfalen,51.48692785,7.314199580597815,0,1885010
104,Bönen,59199,Nordrhein-Westfalen,51.59647395,7.748472116212745,0,1116116
105,Bonn,53111,Nordrhein-Westfalen,50.74572965,7.094089165017582,0,2458337
106,Bonn,53113,Nordrhein-Westfalen,50.72411995,7.10303472765805,0,1123169
107,Bonn,53115,Nordrhein-Westfalen,50.7227303,7.0848061777978755,0,1822851
108,Bonn,53117,Nordrhein-Westfalen,50.75466135,7.07383031454408,0,1847821
109,Bonn,53119,Nordrhein-Westfalen,50.746578,7.03889785,0,2455236
110,Bonn,53121,Nordrhein-Westfalen,50.73293545,7.047708404878684,0,1929783
111,Bonn,53123,Nordrhein-Westfalen,50.707829200000006,7.057586916935098,0,1791370
112,Bonn,53125,Nordrhein-Westfalen,50.69757645,7.060109534916843,0,2119825
113,Bonn,53127,Nordrhein-Westfalen,50.70774215,7.090751835077281,0,2553234
114,Bonn,53129,Nordrhein-Westfalen,50.70544285,7.113838820410308,0,1655866
115,Bonn,53173,Nordrhein-Westfalen,50.69286995,7.16651340268618,0,2842194
116,Bonn,53175,Nordrhein-Westfalen,50.69135595,7.135944900000001,0,2857821
117,Bonn,53177,Nordrhein-Westfalen,50.66447545,7.160158136973728,0,1963406
118,Bonn,53179,Nordrhein-Westfalen,50.6679249,7.184529974071247,0,2215873
119,Bonn,53225,Nordrhein-Westfalen,50.73730465,7.11673897043355,0,2356520
120,Bonn,53227,Nordrhein-Westfalen,50.7235002,7.15801668905573,0,1059804
121,Bonn,53229,Nordrhein-Westfalen,50.74270975,7.1267426422413775,0,1759204
122,Borchen,33178,Nordrhein-Westfalen,51.64555285,8.711352442523713,0,1058363
123,Borgentreich,34434,Nordrhein-Westfalen,51.5347156,9.282035058076536,0,1683150
124,Borgholzhausen,33829,Nordrhein-Westfalen,52.08991105,8.275683329571184,0,1561810
125,Borken,46325,Nordrhein-Westfalen,51.8431909,6.848534688227852,0,2875489
126,Bornheim,53332,Nordrhein-Westfalen,50.76199195,6.9556922531443925,0,2641726
127,Bottrop,46236,Nordrhein-Westfalen,51.5186447,6.916444400349668,0,1150603
128,Bottrop,46238,Nordrhein-Westfalen,51.5160435,6.955662449961655,0,2288281
129,Bottrop,46240,Nordrhein-Westfalen,51.5445921,6.938553609286253,0,2346075
130,Bottrop,46242,Nordrhein-Westfalen,51.5259408,6.899931431653073,0,1085143
131,Bottrop,46244,Nordrhein-Westfalen,51.59724405,6.915039901039321,0,1202987
132,Brakel,33034,Nordrhein-Westfalen,51.7278151,9.188248891959036,0,2024720
133,Breckerfeld,58339,Nordrhein-Westfalen,51.26419009999999,7.414333759872972,0,1810662
134,Brilon,59929,Nordrhein-Westfalen,51.3771817,8.633370130664883,0,1243389
135,Brüggen,41379,Nordrhein-Westfalen,51.26755695,6.172218472332577,0,2513838
136,Brühl,50321,Nordrhein-Westfalen,50.8206836,6.894659164086724,0,1154894
137,Bünde,32257,Nordrhein-Westfalen,52.19344825,8.585596332548343,0,2013055
138,Burbach,57299,Nordrhein-Westfalen,50.74105985,8.091160228760401,0,2754291
139,Büren,33142,Nordrhein-Westfalen,51.60740985,8.61285174609902,0,2820058
140,Burscheid,51399,Nordrhein-Westfalen,51.0918585,7.1183016857093575,0,2930477
141,Castrop-Rauxel,44575,Nordrhein-Westfalen,51.54923405,7.306269249999992,0,2835034
142,Castrop-Rauxel,44577,Nordrhein-Westfalen,51.52336635,7.325706070221545,0,2956043
143,Castrop-Rauxel,44579,Nordrhein-Westfalen,51.57410760000001,7.282982118427963,0,1997605
144,Castrop-Rauxel,44581,Nordrhein-Westfalen,51.58737515,7.3403617,0,2106196
145,Coesfeld,48653,Nordrhein-Westfalen,51.93823155,7.184607026209804,0,2450443
146,Dahlem,53949,Nordrhein-Westfalen,50.38913355,6.504344592266402,0,2314390
147,Datteln,45711,Nordrhein-Westfalen,51.6249174,7.288749432542032,0,1951118
148,Delbrück,33129,Nordrhein-Westfalen,51.752342799999994,8.55413445,0,1234273
149,Detmold,32756,Nordrhein-Westfalen,51.934457,8.851779308893104,0,1662969
150,Detmold,32758,Nordrhein-Westfalen,51.94436835,8.865178749999998,0,2258447
151,Detmold,32760,Nordrhein-Westfalen,51.91521615,8.870230741254638,0,2020159
152,Dinslaken,46535,Nordrhein-Westfalen,51.56304900000001,6.71441440000001,0,1958531
153,Dinslaken,46537,Nordrhein-Westfalen,51.57223135,6.734343795577017,0,1121353
154,Dinslaken,46539,Nordrhein-Westfalen,51.55770560000001,6.800096680624559,0,1762220
155,Dörentrup,32694,Nordrhein-Westfalen,52.0370581,9.033107094736613,0,2302411
156,Dormagen,41539,Nordrhein-Westfalen,51.10270185,6.816367469876784,0,2653843
157,Dormagen,41540,Nordrhein-Westfalen,51.07799985,6.799218705914277,0,1467704
158,Dormagen,41541,Nordrhein-Westfalen,51.13506985,6.8232104859153875,0,2115799
159,Dormagen,41542,Nordrhein-Westfalen,51.1274148,6.783070651472857,0,2526826
160,Dorsten,46282,Nordrhein-Westfalen,51.64731095,6.971983316474758,0,1077130
161,Dorsten,46284,Nordrhein-Westfalen,51.67886665,7.015532739043445,0,2603363
162,Dorsten,46286,Nordrhein-Westfalen,51.76130070000001,6.9554070529688135,0,1849183
163,Dortmund,44135,Nordrhein-Westfalen,51.51389575,7.477272295596865,0,2455884
164,Dortmund,44137,Nordrhein-Westfalen,51.5081641,7.447996469332643,0,2539541
165,Dortmund,44139,Nordrhein-Westfalen,51.4970672,7.458235514913269,0,2922410
166,Dortmund,44141,Nordrhein-Westfalen,51.5038898,7.4993739176851415,0,1193657
167,Dortmund,44143,Nordrhein-Westfalen,51.51966975000001,7.506569171633772,0,2281161
168,Dortmund,44145,Nordrhein-Westfalen,51.5328942,7.484637044708263,0,2600919
169,Dortmund,44147,Nordrhein-Westfalen,51.5253622,7.442204875984371,0,2732168
170,Dortmund,44149,Nordrhein-Westfalen,51.5001803,7.414470755075609,0,2645109
171,Dortmund,44225,Nordrhein-Westfalen,51.47862195,7.450535102572992,0,2654613
172,Dortmund,44227,Nordrhein-Westfalen,51.46467605,7.415219065857367,0,2178754
173,Dortmund,44229,Nordrhein-Westfalen,51.45124815,7.4593715943599985,0,1648484
174,Dortmund,44263,Nordrhein-Westfalen,51.4876154,7.497865003856437,0,2707097
175,Dortmund,44265,Nordrhein-Westfalen,51.4498508,7.495981811122682,0,1094773
176,Dortmund,44267,Nordrhein-Westfalen,51.455419,7.5247054113548435,0,2973056
177,Dortmund,44269,Nordrhein-Westfalen,51.4956831,7.535318058125543,0,1486136
178,Dortmund,44287,Nordrhein-Westfalen,51.47942885,7.557218936543522,0,1302543
179,Dortmund,44289,Nordrhein-Westfalen,51.49320675,7.587655573852402,0,2122983
180,Dortmund,44309,Nordrhein-Westfalen,51.53948685,7.562224249999997,0,1695026
181,Dortmund,44319,Nordrhein-Westfalen,51.538682057278,7.600847015749722,0,1845306
182,Dortmund,44328,Nordrhein-Westfalen,51.5461325,7.532897538752698,0,1536881
183,Dortmund,44329,Nordrhein-Westfalen,51.5602764,7.520506182721225,0,2186715
