,ort,plz,bundesland,latitude,longitude,open,fixed_costs
0,Aachen,52062,Nordrhein-Westfalen,50.7761739,6.0858482547709825,0,247615
1,Aachen,52064,Nordrhein-Westfalen,50.7695473,6.080324693416921,0,267087
2,Aachen,52066,Nordrhein-Westfalen,50.7583177,6.10256117636813,0,226430
3,Aachen,52068,Nordrhein-Westfalen,50.7800736,6.121385586997584,0,265771
4,Aachen,52070,Nordrhein-Westfalen,50.79106955,6.096156215124258,0,434206
5,Aachen,52072,Nordrhein-Westfalen,50.81768295000001,6.047361916065008,0,399004
6,Aachen,52074,Nordrhein-Westfalen,50.76623035,6.041953856160451,0,343458
7,Aachen,52076,Nordrhein-Westfalen,50.7118938,6.164828723917756,0,263935
8,Aachen,52078,Nordrhein-Westfalen,50.758924500000006,6.169006003068397,0,156261
9,Aachen,52080,Nordrhein-Westfalen,50.7846311,6.160786974879325,0,351592
10,Ahaus,48683,Nordrhein-Westfalen,52.1476162,6.916871867987983,0,479676
11,Ahlen,59227,Nordrhein-Westfalen,51.75943384999999,7.8755680355878175,0,316547
12,Ahlen,59229,Nordrhein-Westfalen,51.70782615,7.92341596224309,0,224816
13,Aldenhoven,52457,Nordrhein-Westfalen,50.88471325,6.271715695786803,0,482015
14,Alfter,53347,Nordrhein-Westfalen,50.70224315,6.995519249988379,0,309980
15,Alpen,46519,Nordrhein-Westfalen,51.59325705000001,6.482416064779099,0,467688
16,Alsdorf,52477,Nordrhein-Westfalen,50.87491315,6.144776602311811,0,356119
17,Altena,58762,Nordrhein-Westfalen,51.27817035,7.668831087558672,0,361855
18,Altenbeken,33184,Nordrhein-Westfalen,51.71863635,8.9356842125,0,466004
19,Altenberge,48341,Nordrhein-Westfalen,52.03633935,7.447240369563758,0,348289
20,Anröchte,59609,Nordrhein-Westfalen,51.55013220000001,8.295225271020403,0,334579
21,Arnsberg,59755,Nordrhein-Westfalen,51.4540753,7.968162161012242,0,399015
22,Arnsberg,59757,Nordrhein-Westfalen,51.45481115,7.9465899594161655,0,332094
23,Arnsberg,59759,Nordrhein-Westfalen,51.4393343,7.974716024073729,0,270571
24,Arnsberg,59821,Nordrhein-Westfalen,51.40119225,8.056129357491532,0,187053
25,Arnsberg,59823,Nordrhein-Westfalen,51.40399925,8.14368233469542,0,399605
26,Ascheberg,59387,Nordrhein-Westfalen,51.73963225,7.66235568336817,0,376024
27,Attendorn,57439,Nordrhein-Westfalen,51.1084318,7.832937150060606,0,410268
28,Augustdorf,32832,Nordrhein-Westfalen,51.8980278,8.76556386509434,0,414168
29,Bad Berleburg,57319,Nordrhein-Westfalen,51.05711135,8.514589973117978,0,403684
30,Bad Driburg,33014,Nordrhein-Westfalen,51.6774771,8.995625450000002,0,436351
31,Bad Honnef,53604,Nordrhein-Westfalen,50.6415735,7.233993462641315,0,404297
32,Bad Laasphe,57334,Nordrhein-Westfalen,50.9526569,8.277526112806282,0,364944
33,Bad Lippspringe,33175,Nordrhein-Westfalen,51.7985829,8.846852900000002,0,457811
34,Bad Münstereifel,53902,Nordrhein-Westfalen,50.5316133,6.8141973057963945,0,439499
35,Bad Oeynhausen,32545,Nordrhein-Westfalen,52.20687125,8.800114537141226,0,384330
36,Bad Oeynhausen,32547,Nordrhein-Westfalen,52.198308700000005,8.805360949421965,0,292636
37,Bad Oeynhausen,32549,Nordrhein-Westfalen,52.217735499999996,8.783919099999999,0,173763
38,Bad Salzuflen,32105,Nordrhein-Westfalen,52.086037299999994,8.76205862315609,0,188273
39,Bad Salzuflen,32107,Nordrhein-Westfalen,52.0625345,8.731057227249224,0,298755
40,Bad Salzuflen,32108,Nordrhein-Westfalen,52.0756166,8.792051968298896,0,382307
41,Bad Sassendorf,59505,Nordrhein-Westfalen,51.583161499999996,8.17946443830347,0,364122
42,Bad Wünnenberg,33181,Nordrhein-Westfalen,51.5230906,8.706975899999998,0,345873
43,Baesweiler,52499,Nordrhein-Westfalen,50.91752165,6.187242640938535,0,411370
44,Balve,58802,Nordrhein-Westfalen,51.34378765,7.857238646142116,0,464090
45,Barntrup,32683,Nordrhein-Westfalen,52.0091104,9.141888712009864,0,197028
46,Beckum,59269,Nordrhein-Westfalen,51.7583172,8.057965990175882,0,470256
47,Bedburg,50181,Nordrhein-Westfalen,50.9816144,6.569816490405176,0,446447
48,Bedburg-Hau,47551,Nordrhein-Westfalen,51.762480200000006,6.193293566076165,0,367135
49,Beelen,48361,Nordrhein-Westfalen,51.9332419,8.112424397352076,0,328268
50,Bergheim,50126,Nordrhein-Westfalen,50.95305055,6.646339282898875,0,377395
51,Bergheim,50127,Nordrhein-Westfalen,50.93488565,6.676810750613104,0,497585
52,Bergheim,50129,Nordrhein-Westfalen,51.00321875,6.671336318001865,0,480534
53,Bergisch Gladbach,51427,Nordrhein-Westfalen,50.9559617,7.116725938290332,0,188425
54,Bergisch Gladbach,51429,Nordrhein-Westfalen,50.96723665,7.152546963783475,0,201697
55,Bergisch Gladbach,51465,Nordrhein-Westfalen,50.99220825,7.128719477845457,0,423676
56,Bergisch Gladbach,51467,Nordrhein-Westfalen,51.0201255,7.071655160851077,0,326363
57,Bergisch Gladbach,51469,Nordrhein-Westfalen,50.99559445,7.112263419190872,0,447330
58,Bergkamen,59192,Nordrhein-Westfalen,51.610817,7.5960712,0,355646
59,Bergneustadt,51702,Nordrhein-Westfalen,51.02616765000001,7.638536181631387,0,176615
