ort,plz,bundesland,latitude,longitude
Aachen,52062,Nordrhein-Westfalen,50.7761739,6.085848254770982
Aachen,52064,Nordrhein-Westfalen,50.7695473,6.080324693416921
Aachen,52066,Nordrhein-Westfalen,50.7583177,6.1025611763681304
Aachen,52068,Nordrhein-Westfalen,50.7800736,6.121385586997584
Aachen,52070,Nordrhein-Westfalen,50.79106955,6.096156215124257
Aachen,52072,Nordrhein-Westfalen,50.817682950000005,6.047361916065009
Aachen,52074,Nordrhein-Westfalen,50.76623035,6.041953856160451
Aachen,52076,Nordrhein-Westfalen,50.7118938,6.164828723917756
Aachen,52078,Nordrhein-Westfalen,50.758924500000006,6.169006003068398
Aachen,52080,Nordrhein-Westfalen,50.7846311,6.160786974879324
Ahaus,48683,Nordrhein-Westfalen,52.1476162,6.916871867987984
Ahlen,59227,Nordrhein-Westfalen,51.75943384999999,7.875568035587818
Ahlen,59229,Nordrhein-Westfalen,51.70782615,7.92341596224309
Aldenhoven,52457,Nordrhein-Westfalen,50.88471325,6.271715695786803
Alfter,53347,Nordrhein-Westfalen,50.70224315,6.99551924998838
Alpen,46519,Nordrhein-Westfalen,51.593257050000005,6.4824160647791
Alsdorf,52477,Nordrhein-Westfalen,50.87491315,6.144776602311811
Altena,58762,Nordrhein-Westfalen,51.278170349999996,7.668831087558672
Altenbeken,33184,Nordrhein-Westfalen,51.71863635,8.9356842125
Altenberge,48341,Nordrhein-Westfalen,52.03633935,7.447240369563758
Anröchte,59609,Nordrhein-Westfalen,51.5501322,8.295225271020403
Arnsberg,59755,Nordrhein-Westfalen,51.4540753,7.968162161012243
Arnsberg,59757,Nordrhein-Westfalen,51.45481115,7.946589959416165
Arnsberg,59759,Nordrhein-Westfalen,51.4393343,7.974716024073729
Arnsberg,59821,Nordrhein-Westfalen,51.40119225,8.056129357491532
Arnsberg,59823,Nordrhein-Westfalen,51.40399925,8.14368233469542
Ascheberg,59387,Nordrhein-Westfalen,51.73963225,7.66235568336817
Attendorn,57439,Nordrhein-Westfalen,51.1084318,7.832937150060606
Augustdorf,32832,Nordrhein-Westfalen,51.8980278,8.76556386509434
Bad Berleburg,57319,Nordrhein-Westfalen,51.05711135,8.514589973117978
Bad Driburg,33014,Nordrhein-Westfalen,51.677477100000004,8.995625450000002
Bad Honnef,53604,Nordrhein-Westfalen,50.6415735,7.233993462641315
Bad Laasphe,57334,Nordrhein-Westfalen,50.952656899999994,8.27752611280628
